Wall time,Step,Value
1693459841.8481998,0,0.33402734994888306
1693459935.26714,1,0.4430307149887085
1693460026.4220781,2,0.5211597084999084
1693460120.0433924,3,0.5762667655944824
1693460210.0567145,4,0.6096028089523315
1693460300.6639714,5,0.640229344367981
1693460391.440262,6,0.6737892031669617
1693460484.3315773,7,0.6887108683586121
1693460572.9652092,8,0.704343855381012
1693460666.0639384,9,0.7166440486907959
1693460763.098825,10,0.728656530380249
1693460860.6101933,11,0.7410406470298767
1693460957.2101405,12,0.7469030022621155
1693461053.3884208,13,0.7553748488426208
1693461145.7574954,14,0.7670316100120544
1693461240.1328232,15,0.7701327204704285
1693461335.5714047,16,0.7731777429580688
1693461433.6146126,17,0.7852901220321655
1693461531.2706268,18,0.7849544286727905
1693461628.3547313,19,0.7952845096588135
1693461726.0971494,20,0.7968989610671997
1693461823.5389693,21,0.7986533045768738
1693461921.1485353,22,0.806238055229187
1693462017.1923113,23,0.8130515217781067
1693462114.0544841,24,0.817798912525177
1693462210.0247047,25,0.8177229762077332
1693462307.0834816,26,0.8188938498497009
1693462404.1994803,27,0.8244205713272095
1693462498.3420725,28,0.8261829018592834
1693462591.3968365,29,0.825951099395752
1693462684.398557,30,0.8534246683120728
1693462776.1244254,31,0.8627517819404602
1693462870.3049636,32,0.8670636415481567
1693462961.2899396,33,0.8715353608131409
1693463057.187456,34,0.8732895851135254
1693463156.9064507,35,0.871882975101471
1693463253.617549,36,0.8760350346565247
1693463352.4320996,37,0.875627338886261
1693463446.4499068,38,0.8759750723838806
1693463539.367237,39,0.8795596361160278
1693463630.1055284,40,0.8818174600601196
1693463720.4449594,41,0.8803108930587769
1693463809.9313736,42,0.878728449344635
1693463900.021553,43,0.8784366846084595
1693463996.3224185,44,0.8822130560874939
1693464094.1186678,45,0.8824049234390259
1693464188.4530754,46,0.8816536068916321
1693464285.169942,47,0.8830443024635315
1693464378.5779643,48,0.8840992450714111
1693464475.6693006,49,0.8836717009544373
1693464566.6313655,50,0.8879196047782898
1693464653.29136,51,0.8831761479377747
1693464739.7965195,52,0.8874959945678711
1693464831.285197,53,0.886892557144165
1693464922.9494715,54,0.8873161673545837
1693465014.5867462,55,0.8898817300796509
1693465106.447838,56,0.8879954814910889
1693465198.6353369,57,0.8839353919029236
1693465291.5162473,58,0.8893622159957886
1693465385.2696264,59,0.8877677321434021
1693465478.2908425,60,0.894293487071991
1693465571.2628436,61,0.898713231086731
1693465663.2180834,62,0.8948289155960083
1693465755.3204978,63,0.8969189524650574
1693465845.3944628,64,0.8948169946670532
1693465934.8218439,65,0.897350549697876
1693466027.040103,66,0.8933224081993103
1693466119.8020287,67,0.8949648141860962
1693466212.097441,68,0.896946907043457
1693466303.499994,69,0.8955962657928467
1693466399.7569609,70,0.8950127959251404
1693466492.2409134,71,0.8945572376251221
1693466583.755067,72,0.8965153694152832
1693466677.6055958,73,0.897826075553894
1693466764.151891,74,0.8983255624771118
1693466850.6010392,75,0.8958759903907776
1693466937.037679,76,0.8964954018592834
1693467023.4339683,77,0.8981257677078247
1693467110.9707081,78,0.9011469483375549
1693467204.5435796,79,0.8991807699203491
1693467291.0962632,80,0.9003196954727173
1693467377.8907197,81,0.8978700637817383
1693467465.3760023,82,0.8964873552322388
1693467557.0539165,83,0.8988571166992188
1693467650.2217295,84,0.9007232785224915
1693467749.6891913,85,0.8981737494468689
1693467838.2094269,86,0.8974704742431641
1693467925.686022,87,0.8959998488426208
1693468017.4054508,88,0.9019141793251038
1693468106.8314662,89,0.9008352160453796
