Wall time,Step,Value
1693448433.3579795,0,1.876193642616272
1693448516.0050867,1,1.5583618879318237
1693448597.2785938,2,1.346137523651123
1693448681.812039,3,1.2024353742599487
1693448770.2456162,4,1.1137831211090088
1693448857.8530715,5,1.022065281867981
1693448946.6475236,6,0.9390652179718018
1693449031.0558324,7,0.8938668966293335
1693449120.0543253,8,0.8434515595436096
1693449219.822166,9,0.8106149435043335
1693449318.1452188,10,0.7824956178665161
1693449415.9912286,11,0.750171422958374
1693449514.141745,12,0.7234002947807312
1693449604.801054,13,0.703790009021759
1693449701.0678582,14,0.672805666923523
1693449800.0130775,15,0.6583552956581116
1693449898.8521214,16,0.6398048996925354
1693449991.9073532,17,0.6190695762634277
1693450086.3565052,18,0.6161037087440491
1693450179.8147442,19,0.5895766019821167
1693450276.0392814,20,0.5875371694564819
1693450373.079054,21,0.5792533159255981
1693450469.4147074,22,0.5566400289535522
1693450565.3354325,23,0.5451968312263489
1693450663.832501,24,0.5310388207435608
1693450759.836545,25,0.5284479260444641
1693450852.411594,26,0.5262178182601929
1693450942.893466,27,0.5078626275062561
1693451029.7975216,28,0.5035585165023804
1693451119.759693,29,0.4993942677974701
1693451208.2360497,30,0.4260684847831726
1693451297.7063394,31,0.39572271704673767
1693451393.9944406,32,0.3870900273323059
1693451490.883292,33,0.3737751543521881
1693451582.0490258,34,0.3716352880001068
1693451675.4063911,35,0.3697986900806427
1693451768.886751,36,0.3585607707500458
1693451861.8273866,37,0.3643438220024109
1693451956.5694532,38,0.3593788743019104
1693452054.4413066,39,0.3497370779514313
1693452150.6559672,40,0.3445322811603546
1693452247.7504153,41,0.3484738767147064
1693452339.5649614,42,0.3493906855583191
1693452432.0971649,43,0.34938085079193115
1693452525.9072874,44,0.3459477424621582
1693452622.81462,45,0.34199509024620056
1693452713.2598348,46,0.3407036364078522
1693452804.2042966,47,0.33924412727355957
1693452899.0143836,48,0.3369951546192169
1693452992.5751293,49,0.3325701057910919
1693453085.653766,50,0.3259240686893463
1693453180.510828,51,0.3340909481048584
1693453272.2463555,52,0.3216266632080078
1693453364.4582884,53,0.33017775416374207
1693453453.2823136,54,0.3251788914203644
1693453547.8727279,55,0.3233948349952698
1693453646.0913336,56,0.3218097686767578
1693453742.7927995,57,0.332358717918396
1693453840.7123115,58,0.3224356770515442
1693453932.4649966,59,0.3242243230342865
1693454016.7619317,60,0.30506452918052673
1693454100.5089812,61,0.29701218008995056
1693454182.7288814,62,0.3051449954509735
1693454270.0986693,63,0.3031773269176483
1693454355.6456864,64,0.30532729625701904
1693454449.8242047,65,0.29757145047187805
1693454547.8304062,66,0.3073025941848755
1693454646.8590155,67,0.3063979148864746
1693454743.7101793,68,0.3022080957889557
1693454840.3615222,69,0.3024967312812805
1693454936.4557226,70,0.2991166412830353
1693455032.5126708,71,0.30873626470565796
1693455127.7529726,72,0.2984364628791809
1693455214.2947383,73,0.29771125316619873
1693455299.891743,74,0.29596859216690063
1693455388.1803071,75,0.3026978671550751
1693455487.0749724,76,0.29631343483924866
1693455584.2047427,77,0.29398494958877563
1693455681.968324,78,0.2910381555557251
1693455778.409034,79,0.2942768633365631
1693455874.4881926,80,0.29221639037132263
1693455974.6725197,81,0.3007660508155823
1693456064.0838099,82,0.2996225655078888
1693456156.5293715,83,0.2967508137226105
1693456240.9542193,84,0.2904456853866577
1693456334.5757227,85,0.29392826557159424
1693456428.3686295,86,0.29831045866012573
1693456524.140082,87,0.3001038730144501
1693456620.0978858,88,0.2873660624027252
1693456716.604835,89,0.2906992435455322
